counter,date,year,location,tournament,logo,surface,opponent,flag,score,ranking,img
074,6 May,2019,Madrid (ESP),ATP Masters 1000 Madrid,https://pab-ns.github.io/100-x-djokovic//imgs/events/atp-1000.png,Clay,S. Tsitsipas (9),https://pab-ns.github.io/100-x-djokovic//imgs/flags/gr.svg,6-3 / 6-4,1,https://media.gettyimages.com/id/1143377015/photo/mutua-madrid-open-atp-singles-finals.jpg?s=594x594&w=0&k=20&c=AnYlF-wq6OFChggED1CGXmejCivhsRZ_Hju_anKP7EI=
075,1 July,2019,London (ENG),Wimbledon,https://pab-ns.github.io/100-x-djokovic//imgs/events/wimbledon.png,Grass,R. Federer (3),https://pab-ns.github.io/100-x-djokovic//imgs/flags/ch.svg,7-6 / 1-6 / 7-6 / 4-6 / 13-12,1,https://media.gettyimages.com/id/1155576221/photo/topshot-tennis-gbr-wimbledon.jpg?s=594x594&w=0&k=20&c=x57jebvXMspSfGcKfQLyveaJ2XMRsD-NvTZlZRss9QE=
076,30 September,2019,Tokyo (JPN),ATP 500 Tokyo,https://pab-ns.github.io/100-x-djokovic//imgs/events/atp-500.png,Hard,J. Millman (80),https://pab-ns.github.io/100-x-djokovic//imgs/flags/au.svg,6-3 / 6-2,1,https://media.gettyimages.com/id/1179324495/photo/rakuten-open-day-7.jpg?s=594x594&w=0&k=20&c=pn1DLTik0rHg1BbOw8yUOdnb12Fg8GR8D9Wr-UJWjAs=
077,28 October,2019,Paris (FRA),ATP Masters 1000 Paris,https://pab-ns.github.io/100-x-djokovic//imgs/events/atp-1000.png,Hard,D. Shapovalov (28),https://pab-ns.github.io/100-x-djokovic//imgs/flags/ca.svg,6-3 / 6-4,1,https://media.gettyimages.com/id/1185249321/photo/rolex-paris-masters-day-seven.jpg?s=594x594&w=0&k=20&c=pe1LamO4rV_miS78L8Vadlf7MJ7BO4pdValTtEzlIXQ=
078,20 January,2020,Melbourne (AUS),Australian Open,https://pab-ns.github.io/100-x-djokovic//imgs/events/ao.png,Hard,D. Thiem (5),https://pab-ns.github.io/100-x-djokovic//imgs/flags/at.svg,6-4 / 4-6 / 2-6 / 6-3 / 6-4,2,https://media.gettyimages.com/photos/novak-djokovic-of-serbia-as-he-holds-the-norman-brookes-challenge-cup-picture-id1203555634?k=6&m=1203555634&s=594x594&w=0&h=hBlGdgE1hFhShODz8gh_HY2dowU8pSszkiPsl0buX-A=
079,24 February,2020,Dubai (UAE),ATP 500 Dubai,https://pab-ns.github.io/100-x-djokovic//imgs/events/atp-500.png,Hard,S. Tsitsipas (6),https://pab-ns.github.io/100-x-djokovic//imgs/flags/gr.svg,6-3 / 6-4,1,https://media.gettyimages.com/photos/novak-djokovic-of-serbia-celebrates-with-the-victors-trophy-after-picture-id1209495936?k=6&m=1209495936&s=594x594&w=0&h=W_D6xHqaH27lR8FLoeeq1bQk4EyyEP117BklVbtbNmg=
080,24 August,2020,New York (USA),ATP Masters 1000 Cincinnati,https://pab-ns.github.io/100-x-djokovic//imgs/events/atp-1000.png,Hard,M. Raonic (30),https://pab-ns.github.io/100-x-djokovic//imgs/flags/ca.svg,1-6 / 6-3 / 6-4,1,https://media.gettyimages.com/photos/novak-djokovic-of-serbia-poses-with-the-winners-trophy-after-milos-picture-id1269560050?k=6&m=1269560050&s=594x594&w=0&h=HGNLxpl-iBsplrL-Jl6J6IvMRo1CnJf2hES4pRSLugA=
081,14 September,2020,Rome (ITA),ATP Masters 1000 Rome,https://pab-ns.github.io/100-x-djokovic//imgs/events/atp-1000.png,Clay,D. Schwartzman (15),https://pab-ns.github.io/100-x-djokovic//imgs/flags/ar.svg,7-5 / 6-3,1,https://media.gettyimages.com/photos/novak-djokovic-of-serbia-poses-with-the-trophy-after-winning-his-mens-picture-id1273929535?k=6&m=1273929535&s=594x594&w=0&h=5w__4PNC62h95M6o7N8utS1vMsFrpsKNMoZQasIZfA0=
082,8 February,2021,Melbourne (AUS),Australian Open,https://pab-ns.github.io/100-x-djokovic//imgs/events/ao.png,Hard,D. Medvedev (4),https://pab-ns.github.io/100-x-djokovic//imgs/flags/ru.svg,7-5 / 6-2 / 6-2,1,https://media.gettyimages.com/id/1303296660/photo/day-14.jpg?s=594x594&w=0&k=20&c=zlTpXvQKsyVI2CX2PaNKMuUC3l1BvyaAFtiVwe5ICVo=
083,24 May,2021,Belgrade (SRB),ATP 250 Belgrade 2,https://pab-ns.github.io/100-x-djokovic//imgs/events/atp-250.png,Clay,A. Molcan (255),https://pab-ns.github.io/100-x-djokovic//imgs/flags/sk.svg,6-4 / 6-3,1,https://media.gettyimages.com/photos/serbias-tennis-player-novak-djokovic-poses-the-winning-trophy-after-picture-id1233166987?k=6&m=1233166987&s=594x594&w=0&h=DfmR2NZij3cMRyoLAbRWFhUUDpZ6vHiAXM-gtbVX-cI=
084,31 May,2021,Paris (FRA),Roland Garros,https://pab-ns.github.io/100-x-djokovic//imgs/events/roland-garros.png,Clay,S. Tsitsipas (5),https://pab-ns.github.io/100-x-djokovic//imgs/flags/gr.svg,6-7 / 2-6 / 6-3 / 6-2 / 6-4,1,https://media.gettyimages.com/photos/novak-djokovic-of-serbia-celebrates-as-he-holds-the-trophy-after-his-picture-id1323371085?k=6&m=1323371085&s=594x594&w=0&h=Y1VLvDUv02Gxw9-2D0D3PBIPpJK5HHuVOcnz78tBLfM=
085,28 June,2021,London (ENG),Wimbledon,https://pab-ns.github.io/100-x-djokovic//imgs/events/wimbledon.png,Grass,M. Berrettini (9),https://pab-ns.github.io/100-x-djokovic//imgs/flags/it.svg,6-7 / 6-4 / 6-4 / 6-3,1,https://media.gettyimages.com/photos/serbias-novak-djokovic-kisses-the-winners-trophy-after-beating-italys-picture-id1233924097?k=6&m=1233924097&s=594x594&w=0&h=4jFo10_E8he6St0Q-yQItaBs3sJlYVcNmeEnqaaK77o=
086,1 November,2021,Paris (FRA),ATP Masters 1000 Paris,https://pab-ns.github.io/100-x-djokovic//imgs/events/atp-1000.png,Hard,D. Medvedev (2),https://pab-ns.github.io/100-x-djokovic//imgs/flags/ru.svg,4-6 / 6-3 / 6-3,1,https://media.gettyimages.com/photos/novak-djokovic-of-serbia-poses-with-the-trophy-after-winning-the-mens-picture-id1351867143?k=20&m=1351867143&s=594x594&w=0&h=gnpJ9G3hC-gO0CnwcIBD9t7Ky9GeW_rL2OfjMllG-J0=
087,9 May,2022,Rome (ITA),ATP Masters 1000 Rome,https://pab-ns.github.io/100-x-djokovic//imgs/events/atp-1000.png,Clay,S. Tsitsipas (5),https://pab-ns.github.io/100-x-djokovic//imgs/flags/gr.svg,6-0 / 7-6,1,https://media.gettyimages.com/photos/novak-djokovic-of-serbia-celebrates-with-the-internazionali-bnl-mens-picture-id1397383217?k=20&m=1397383217&s=594x594&w=0&h=mBUTlbJy8izfjroaRz27XpnnSizd1V11wsD-q1BXK3c=
088,27 June,2022,London (ENG),Wimbledon,https://pab-ns.github.io/100-x-djokovic//imgs/events/wimbledon.png,Grass,N. Kyrgios (40),https://pab-ns.github.io/100-x-djokovic//imgs/flags/au.svg,4-6 / 6-3 / 6-4 / 7-6,3,https://media.gettyimages.com/id/1241823975/photo/tennis-gbr-wimbledon.jpg?s=594x594&w=0&k=20&c=Nd9wNK_MkG3nfnV86VZ_Mrx3gXGFUAd0HyUsDNONF9U=
089,26 September,2022,Tel Aviv (ISR),ATP 250 Tel Aviv,https://pab-ns.github.io/100-x-djokovic//imgs/events/atp-250.png,Hard,M. Cilic (16),https://pab-ns.github.io/100-x-djokovic//imgs/flags/hr.svg,6-3 / 6-4,7,https://media.gettyimages.com/id/1243677259/photo/tennis-atp-isr.jpg?s=594x594&w=0&k=20&c=wIm8TvL8Z7tinVoSF8TIVvl6uGgF1Ha8OJ2PpLVCjwE=
090,3 October,2022,Astana (KAZ),ATP 500 Astana,https://pab-ns.github.io/100-x-djokovic//imgs/events/atp-500.png,Hard,S. Tsitsipas (6),https://pab-ns.github.io/100-x-djokovic//imgs/flags/gr.svg,6-3 / 6-4,7,https://media.gettyimages.com/photos/serbias-novak-djokovic-celebrates-with-the-trophy-after-defeating-picture-id1243844552?k=20&m=1243844552&s=594x594&w=0&h=svpuHRS4ze_bvC8gvu8uGfiQ99-1Do8W9yOJh1v5Rj8=
091,14 November,2022,Turin (ITA),Nitto ATP Finals,https://pab-ns.github.io/100-x-djokovic//imgs/events/atp-finals.png,Hard,C. Ruud (4),https://pab-ns.github.io/100-x-djokovic//imgs/flags/no.svg,7-5 / 6-3,8,https://media.gettyimages.com/id/1443085026/photo/nitto-atp-finals-day-eight.jpg?s=594x594&w=0&k=20&c=2-O0pb43VI3Utm7MwXCpfjrFOhRnhvG2shfci-YovVM=
092,2 January,2023,Adelaide (AUS),ATP 250 Adelaide 1,https://pab-ns.github.io/100-x-djokovic//imgs/events/atp-250.png,Hard,S. Korda (33),https://pab-ns.github.io/100-x-djokovic//imgs/flags/us.svg,6-7 / 7-6 / 6-4,5,https://media.gettyimages.com/id/1454992385/photo/2023-adelaide-international-1-day-8.jpg?s=594x594&w=0&k=20&c=Jd63xve05o0M7IXJKv2h1vwIsPDHfto7snAlW2g9Q3Q=
093,16 January,2023,Melbourne (AUS),Australian Open,https://pab-ns.github.io/100-x-djokovic//imgs/events/ao.png,Hard,S. Tsitsipas (4),https://pab-ns.github.io/100-x-djokovic//imgs/flags/gr.svg,6-3 / 7-6 / 7-6,5,https://media.gettyimages.com/id/1246639100/photo/topshot-tennis-aus-open.jpg?s=594x594&w=0&k=20&c=Wyni34QE0CkcLT4_m5mMnOnl6yRvW_9HJ3TCByH3IWI=
094,29 May,2023,Paris (FRA),Roland Garros,https://pab-ns.github.io/100-x-djokovic//imgs/events/roland-garros.png,Clay,C. Ruud (4),https://pab-ns.github.io/100-x-djokovic//imgs/flags/no.svg,7-6 / 6-3 / 7-5,3,https://media.gettyimages.com/id/1497971560/photo/2023-french-open-day-fifteen.jpg?s=594x594&w=0&k=20&c=Z8j2k0k4Qxfit59iYh7j2eU7V08Pa_oabdAdD_Qqhjo=
095,14 August,2023,Cincinnati (USA),ATP Masters 1000 Cincinnati,https://pab-ns.github.io/100-x-djokovic//imgs/events/atp-1000.png,Hard,C. Alcaraz (1),https://pab-ns.github.io/100-x-djokovic//imgs/flags/es.svg,5-7 / 7-6 / 7-6,2,https://media.gettyimages.com/id/1612346418/photo/aug-20-western-southern-open.jpg?s=594x594&w=0&k=20&c=oIiRNa5uI50weU2g5SDjiW8_uB3-mfbc4dGWuISeb0I=
096,28 August,2023,New York (USA),US Open,https://pab-ns.github.io/100-x-djokovic//imgs/events/us-open.png,Hard,D. Medvedev (3),https://pab-ns.github.io/100-x-djokovic//imgs/flags/ru.svg,6-3 / 7-6 / 6-3,2,https://media.gettyimages.com/id/1672835441/photo/2023-us-open-day-14.jpg?s=594x594&w=0&k=20&c=ry0V7GJIpTYDBYYzUhw0nCprAkD8h-GJR9QazxCOvBM=
097,30 October,2023,Paris (FRA),ATP Masters 1000 Paris,https://pab-ns.github.io/100-x-djokovic//imgs/events/atp-1000.png,Hard,G. Dimitrov (17),https://pab-ns.github.io/100-x-djokovic//imgs/flags/bg.svg,6-4 / 6-3,1,https://media.gettyimages.com/id/1776513915/photo/rolex-paris-masters-day-seven.jpg?s=594x594&w=0&k=20&c=gzC-zBwnuKfc0Xe0X-uTOMa0bsIqIKLt-SekQsbRo2I=
098,13 November,2023,Turin (ITA),Nitto ATP Finals,https://pab-ns.github.io/100-x-djokovic//imgs/events/atp-finals.png,Hard,J. Sinner (4),https://pab-ns.github.io/100-x-djokovic//imgs/flags/it.svg,6-3 / 6-3,1,https://media.gettyimages.com/id/1802644222/photo/nitto-atp-finals-day-eight.jpg?s=594x594&w=0&k=20&c=YaVv-Gl3q96WEuSTPNWY8p1Ap8WbUvTZPyftcJsn7pE=
099,29 July,2024,Paris (FRA),Paris Olympics,https://pab-ns.github.io/100-x-djokovic//imgs/events/olympic.png,Clay,C. Alcaraz (3),https://pab-ns.github.io/100-x-djokovic//imgs/flags/es.svg,7-6 / 7-6,2,https://media.gettyimages.com/id/2165247143/photo/tennis-olympic-games-paris-2024-day-9.jpg?s=594x594&w=0&k=20&c=n7Jj8ETxRpvgtwELFswnJJur82PZ3FjEptqmgL5NKCE=
100,19 May,2025,Geneva (SWI),ATP 250 Geneva,https://pab-ns.github.io/100-x-djokovic//imgs/events/atp-250.png,Clay,H. Hurkacz (31),https://pab-ns.github.io/100-x-djokovic//imgs/flags/pl.svg,5-7 / 7-6 / 7-6,6,https://media.gettyimages.com/id/2216113484/photo/tennis-atp-sui.jpg?s=594x594&w=0&k=20&c=vSCZAF9nySFu0ZYOD0trKySyPfXTPDhH6RUIGHqrxbI=
