counter,date,year,location,tournament,logo,surface,opponent,flag,score,ranking,img
028,29 August,2011,New York (USA),US Open,https://pab-ns.github.io/100-x-djokovic//imgs/events/us-open.png,Hard,R. Nadal (2),https://pab-ns.github.io/100-x-djokovic//imgs/flags/es.svg,6-2 / 6-4 / 6-7 / 6-1,1,https://media.gettyimages.com/id/124756146/photo/2011-us-open-day-15.jpg?s=594x594&w=0&k=20&c=zxUfCrg0dme8g544svqWI04NXtLzFLrsBVIwIY007F0=
029,16 January,2012,Melbourne (AUS),Australian Open,https://pab-ns.github.io/100-x-djokovic//imgs/events/ao.png,Hard,R. Nadal (2),https://pab-ns.github.io/100-x-djokovic//imgs/flags/es.svg,5-7 / 6-4 / 6-2 / 6-7 / 7-5,1,https://media.gettyimages.com/photos/novak-djokovic-of-serbia-poses-with-the-norman-brookes-challenge-cup-picture-id137883353?k=6&m=137883353&s=594x594&w=0&h=RqDznILeKO4WgeoJBqXxffgupVAKAJ3N8bJekIhB9ss=
030,19 March,2012,Miami (USA),ATP Masters 1000 Miami,https://pab-ns.github.io/100-x-djokovic//imgs/events/atp-1000.png,Hard,A. Murray (4),https://pab-ns.github.io/100-x-djokovic//imgs/flags/sh.svg,6-1 / 7-6,1,https://media.gettyimages.com/id/142282705/photo/sony-ericsson-open-day-14.jpg?s=594x594&w=0&k=20&c=HuuYIzE5j4h7RI5dF7KIn1061b0E-4WANXoZNzLz31w=
031,6 August,2012,Toronto (CAN),ATP Masters 1000 Canada,https://pab-ns.github.io/100-x-djokovic//imgs/events/atp-1000.png,Hard,R. Gasquet (21),https://pab-ns.github.io/100-x-djokovic//imgs/flags/fr.svg,6-3 / 6-2,2,https://media.gettyimages.com/id/150235761/photo/rogers-cup-presented-by-national-bank-day-9.jpg?s=594x594&w=0&k=20&c=zwQ2tK_6LpmK7aS6bOqnNXW07tQcBR27hgb-xHT7Bsc=
032,1 October,2012,Beijing (CHN),ATP 500 Beijing,https://pab-ns.github.io/100-x-djokovic//imgs/events/atp-500.png,Hard,J. Tsonga (7),https://pab-ns.github.io/100-x-djokovic//imgs/flags/fr.svg,7-6 / 6-2,2,https://media.gettyimages.com/id/153606050/photo/tennis-atp-chin.jpg?s=594x594&w=0&k=20&c=puIMykDVO9ZPDu_3oEKTeKPjvhoQLzJPzWOwQSRD988=
033,8 October,2012,Shanghai (CHN),ATP Masters 1000 Shanghai,https://pab-ns.github.io/100-x-djokovic//imgs/events/atp-1000.png,Hard,A. Murray (3),https://pab-ns.github.io/100-x-djokovic//imgs/flags/sh.svg,5-7 / 7-6 / 6-3,2,https://media.gettyimages.com/id/154107107/photo/topshot-tennis-atp-chn.jpg?s=594x594&w=0&k=20&c=_znB5qhA5hOTDfkhImimM8lvt-3elQd9MMyEFWvj2BM=
034,5 November,2012,London (ENG),ATP Finals,https://pab-ns.github.io/100-x-djokovic//imgs/events/atp-finals.png,Hard,R. Federer (2),https://pab-ns.github.io/100-x-djokovic//imgs/flags/ch.svg,7-6 / 7-5,1,https://media.gettyimages.com/id/156273245/photo/atp-world-tour-finals-day-eight.jpg?s=594x594&w=0&k=20&c=2AyCFVGuCEh2Dn37Xh8I1E1zRb5GFMCBqqH6FXg2lxc=
035,14 January,2013,Melbourne (AUS),Australian Open,https://pab-ns.github.io/100-x-djokovic//imgs/events/ao.png,Hard,A. Murray (3),https://pab-ns.github.io/100-x-djokovic//imgs/flags/sh.svg,6-7 / 7-6 / 6-3 / 6-2,1,https://media.gettyimages.com/id/160156768/photo/2013-australian-open-day-14.jpg?s=594x594&w=0&k=20&c=NsQfdM64MR_Ej-bdfTHV4CCUOCoMdtiSHlYWw3QELIQ=
036,25 February,2013,Dubai (UAE),ATP 500 Dubai,https://pab-ns.github.io/100-x-djokovic//imgs/events/atp-500.png,Hard,T. Berdych (6),https://pab-ns.github.io/100-x-djokovic//imgs/flags/cz.svg,7-5 / 6-3,1,https://media.gettyimages.com/id/162960711/photo/tennis-atp-dubai.jpg?s=594x594&w=0&k=20&c=oY9MRRkuUztyNw7A1nhlRqerZBEliojdei8XSCoSBAk=
037,15 April,2013,Monte-Carlo (MCO),ATP Masters 1000 Monte-Carlo,https://pab-ns.github.io/100-x-djokovic//imgs/events/atp-1000.png,Clay,R. Nadal (5),https://pab-ns.github.io/100-x-djokovic//imgs/flags/es.svg,6-2 / 7-6,1,https://media.gettyimages.com/id/167132796/photo/tennis-atp-mco.jpg?s=594x594&w=0&k=20&c=LIez1ojzzMQIchWh_jDpdqC5p5JBaZfMS42AT5uXHIo=
038,30 September,2013,Beijing (CHN),ATP 500 Beijing,https://pab-ns.github.io/100-x-djokovic//imgs/events/atp-500.png,Hard,R. Nadal (2),https://pab-ns.github.io/100-x-djokovic//imgs/flags/es.svg,6-3 / 6-4,1,https://media.gettyimages.com/id/183253706/photo/2013-china-open-day-nine.jpg?s=594x594&w=0&k=20&c=9aYQUa6VGzAkV_QDYoJLCT21JIRpEpUJ6RwGZCDQNP8=
039,7 October,2013,Shanghai (CHN),ATP Masters 1000 Shanghai,https://pab-ns.github.io/100-x-djokovic//imgs/events/atp-1000.png,Hard,J. del Potro (5),https://pab-ns.github.io/100-x-djokovic//imgs/flags/ar.svg,6-1 / 3-6 / 7-6,2,https://media.gettyimages.com/id/184368246/photo/2013-shanghai-rolex-masters-day-7.jpg?s=594x594&w=0&k=20&c=1TdEIbOFzJG453dWGnndCKu9VCpgTV2ZoeZhrZUK7JI=
040,28 October,2013,Paris (FRA),ATP Masters 1000 Paris,https://pab-ns.github.io/100-x-djokovic//imgs/events/atp-1000.png,Hard,D. Ferrer (3),https://pab-ns.github.io/100-x-djokovic//imgs/flags/es.svg,7-5 / 7-5,2,https://media.gettyimages.com/photos/novak-djokovic-of-serbia-with-the-winners-trophy-after-defeating-of-picture-id186706583?k=6&m=186706583&s=594x594&w=0&h=PlaF33ConK_aY3-9jWpsYO13HmtLHxhJo0LK3ot75Ro=
